"Year","Month","Day","Temp_max","Temp_min","Precipitation","Humidity","Date"
2017,6,1,NA,NA,NA,NA,2017-06-01
2017,6,2,NA,NA,NA,NA,2017-06-02
2017,6,3,NA,NA,NA,NA,2017-06-03
2017,6,4,NA,NA,NA,NA,2017-06-04
2017,6,5,NA,NA,NA,NA,2017-06-05
2017,6,6,NA,NA,NA,NA,2017-06-06
2017,6,7,NA,NA,NA,NA,2017-06-07
2017,6,8,NA,NA,NA,NA,2017-06-08
2017,6,9,NA,NA,NA,NA,2017-06-09
2017,6,10,NA,NA,NA,NA,2017-06-10
2017,6,11,NA,NA,NA,NA,2017-06-11
2017,6,12,NA,NA,NA,NA,2017-06-12
2017,6,13,NA,NA,NA,NA,2017-06-13
2017,6,14,NA,NA,NA,NA,2017-06-14
2017,6,15,NA,NA,NA,NA,2017-06-15
2017,6,16,NA,NA,NA,NA,2017-06-16
2017,6,17,NA,NA,NA,NA,2017-06-17
2017,6,18,NA,NA,NA,NA,2017-06-18
2017,6,19,NA,NA,NA,NA,2017-06-19
2017,6,20,NA,NA,NA,NA,2017-06-20
2017,6,21,NA,NA,NA,NA,2017-06-21
2017,6,22,NA,NA,2.1,NA,2017-06-22
2017,6,23,NA,NA,0.1,NA,2017-06-23
2017,6,24,NA,NA,11.9,NA,2017-06-24
2017,6,25,NA,NA,15.8,NA,2017-06-25
2017,6,26,NA,NA,0.9,NA,2017-06-26
2017,6,27,NA,NA,29.6,NA,2017-06-27
2017,6,28,NA,NA,29.3,NA,2017-06-28
2017,6,29,NA,NA,0.1,NA,2017-06-29
2017,6,30,NA,NA,15.2,NA,2017-06-30
2017,6,31,NA,NA,NA,NA,NA
2017,7,1,NA,NA,1.8,NA,2017-07-01
2017,7,2,NA,NA,1.3,NA,2017-07-02
2017,7,3,NA,NA,6.1,NA,2017-07-03
2017,7,4,NA,NA,1.4,NA,2017-07-04
2017,7,5,NA,NA,0,NA,2017-07-05
2017,7,6,NA,NA,0.4,NA,2017-07-06
2017,7,7,NA,NA,42.6,NA,2017-07-07
2017,7,8,NA,NA,0.1,NA,2017-07-08
2017,7,9,NA,NA,7.2,NA,2017-07-09
2017,7,10,NA,NA,35.1,NA,2017-07-10
2017,7,11,NA,NA,14.4,NA,2017-07-11
2017,7,12,NA,NA,4.2,NA,2017-07-12
2017,7,13,NA,NA,12,NA,2017-07-13
2017,7,14,NA,NA,0.3,NA,2017-07-14
2017,7,15,NA,NA,15,NA,2017-07-15
2017,7,16,NA,NA,0.7,NA,2017-07-16
2017,7,17,NA,NA,7,NA,2017-07-17
2017,7,18,NA,NA,0.1,NA,2017-07-18
2017,7,19,NA,NA,2.8,NA,2017-07-19
2017,7,20,NA,NA,0.8,NA,2017-07-20
2017,7,21,NA,NA,26,NA,2017-07-21
2017,7,22,NA,NA,15.4,NA,2017-07-22
2017,7,23,NA,NA,21.4,NA,2017-07-23
2017,7,24,NA,NA,3.5,NA,2017-07-24
2017,7,25,NA,NA,6.3,NA,2017-07-25
2017,7,26,NA,NA,27,NA,2017-07-26
2017,7,27,NA,NA,0,NA,2017-07-27
2017,7,28,NA,NA,12.3,NA,2017-07-28
2017,7,29,NA,NA,19,NA,2017-07-29
2017,7,30,NA,NA,40,NA,2017-07-30
2017,7,31,NA,NA,2.7,NA,2017-07-31
2017,8,1,NA,NA,4.2,NA,2017-08-01
2017,8,2,NA,NA,0.8,NA,2017-08-02
2017,8,3,NA,NA,2.5,NA,2017-08-03
2017,8,4,NA,NA,34.7,NA,2017-08-04
